usx_job_id,usx_folder,position_type,home_time,placemark_name,domicile_raw,job_title_tag,solo_team,area,acct,region,orientation_site,company,sign_on_bonus_usd,weekly_pay_min_usd,weekly_pay_max_usd,cpm_min_usd,cpm_max_usd,lane_polygon_centroid_lat,lane_polygon_centroid_lng,description_full
USX-0001,Dedicated Home Weekly,Dedicated,home_weekly,"🔥🔥 DT Joliet, IL $2500 Sign On Bonus!","DT Joliet, IL",Dedicated OTR Driver - DLC,Solo,Regional,Dedicated,All,,US Xpress 01,2500,1500,1700,0.82,0.85,42.232312,-87.398202,"🔴 Summer Retention Bonus | 5/18/26 – 8/15/26
Earn an extra $337.50/week for being available all week and pulling Dollar Tree loads.
• Payouts: 7/3/26 & 8/21/26
• Must be trained, onboarded, and actively pulling Dollar Tree loads by 7/27/26
• Must be employed at time of payout
• Shop time disqualifies weekly bonus payout eligibility                                                                                                                                                                  🔴 Key Requirements
• Local based driver must park trucks at either Markham Terminal or Dollar Tree Joliet DC, no parking at their homes.
• Drivers must bring two weeks’ worth of supplies to orientation
• Patience & strong customer service skills are essential for this role
• This is a physically demanding job requiring attention to safety due to stacked freight. Training will include safe unloading practices.
• Drivers must be flexible, as shifts and workdays vary based on delivery schedules.


🔴 Other Carriers on This Account
• Werner
• CR England

🔴 Job Details
• $2500 Sign On Bonus
• Training: 2 day ride along following DT driver. Paid at $150/day
• Home Time: Weekly for a 34-hour reset. Weekends are not guaranteed
• Freight: 100% touch freight unload
• Mileage: 800 – 1,000 average weekly
• Running Area: delivering to Dollar Tree stores in IL, WI, IN, MI, IA, and KY
• Tractors: Internationals and Freightliners
• Schedule: Drivers must be available Sunday through Saturday. Workdays vary depending on deliveries near the driver's home for their 34-hour reset.

🔴 Pay
• Average Weekly | annually: $1,500 - $1,700 | $75k-$100k annually
• Additional Pay: $245 for each unloaded trailer. $70 per backhaul. $25 per stop
• Top Performers: $2000+ weekly All in Pay - $1.80 (CPM + accessorial pay + stop pay)


CPM Structure: Experienced Based Pay
• 0-11 months: $0.82/mile
• 12-23 months: $0.83/mile
• 24-35 months: $0.84/mile
• 36+ months: $0.85/mile

🔴 Sign On Bonus Payout
$2500 Total Payout
1st Load $ 250
30 days $ 250
60 days $ 250
90 days $ 500
120 days $ 250
150 days $ 250
180 days $ 750

🔴 Bonus Eligibility
• U.S. Xpress reserves the right to modify or cancel the Sign-on bonus at any time with appropriate notice under applicable law.
• Nothing in this Sign-on Bonus changes the at-will nature of your employment, meaning you and U.S. Xpress may terminate the employment relationship at any time, with or without cause.
• You must be an active company driver on the day the bonus is paid.

🔴 Benefits
• Support staff on site to assist
• Paid Vacation:
o 1 week of vacation after 1 year.
o 2 weeks after 2 years.
o 3 weeks after 7 years.
o 4 weeks after 10 years

🔴Unload Account Videos:
https://vimeo.com/507100528/da4b42c25c     
https://vimeo.com/669499314

🔴Tagging Orientation site - Chicago
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: Regional
Acct: Dedicated
Region: All
DED/Dom Term: DT Joliet, IL
SIGN-ON BONUS: Y/N 
Company: US Xpress 01
Updated 5.13.26"
USX-0002,Dedicated Home Weekly,Dedicated,home_weekly,🔥🔥FD Front Royal VA $2500 Sign On Bonus!!,Family Dollar Front Royal,Dedicated OTR Driver - DLC,Solo,Regional,Dedicated,All,,US Xpress 01,2500,,,0.6,0.73,37.602626,-78.148484,"🔴 Key Requirements
• Patience & strong customer service skills are essential for this role
• Drivers must bring two weeks’ worth of supplies to orientation.
• Physical ability for live unloads.
• A double endorsement is preferred, but not required

🔴 Other Carriers on This Account
USA Truck (DB Schenker)

🔴 Job Details
• $2500 Sign on Bonus
• Training: 1 week ride along in truck with another FD driver paid at $150/day
• Home Time: Weekly for a 34-hour reset
• Freight: 100% touch freight, live unload at FD stores.
• Running Area: VA, NC, DC, PA, NH, OH, WV all within 700 miles of the Front Royal, VA DC
• Mileage: average 1100 miles per week, 1-6 stops per trailer
• Schedule: Runs include nights, weekends, and holidays as they fall within the driver’s schedule. A minimum of 3 loads is required per week.

🔴 Pay
• Average weekly: $1,300+ 
• Top Performers: Top performers make $2,000 per week • Average $89k Annually
• Additional Pay: $250 full trailer unload. $125 per week for completing 3+ loads. $35 backhaul. All in Pay - $1.30 (CPM + accessorial pay)

CPM Structure: Experience Based
0 months: $0.60/mile
12 months: $0.61/mile
24 months: $0.63/mile
36 months: $0.65/mile
48 months: $0.70/mile
60 months: $0.71/mile
84 months: $0.72/mile
120+ months: $0.73/mile

🔴 Sign On Bonus Payout
$2500 Total Payout
1st Load $ 250
30 days $ 250
60 days $ 250
90 days $ 500
120 days $ 250
150 days $ 250
180 days $ 750

🔴 Bonus Eligibility
• U.S. Xpress reserves the right to modify or cancel the Sign-on bonus at any time with appropriate notice under applicable law.
• Nothing in this Sign-on Bonus changes the at-will nature of your employment, meaning you and U.S. Xpress may terminate the employment relationship at any time, with or without cause.
• You must be an active company driver on the day the bonus is paid.

🔴 Benefits
• Support staff on site 24/7 to assist
• Paid Vacation:
o 1 week of vacation after 1 year.
o 2 weeks after 2 years.
o 3 weeks after 7 years.
o 4 weeks after 10 years

🔴Unload Account Videos:
https://vimeo.com/507100528/da4b42c25c     
https://vimeo.com/669499314

🔴Tagging Orientation site - Shippensburg, Duncan
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: Regional
Acct: Dedicated
Region: All
Dedicated Domicile- Family Dollar Front Royal
SIGN ON BONUS: Y/N
Company: US Xpress 01
Updated 5.13.26"
USX-0003,Dedicated Home Weekly,Dedicated,home_weekly,🔥🔥 FD Front Royal DOUBLES REQUIRED $2500 SIGN ON BONUS!!,Family Dollar Front Royal,Dedicated OTR Driver - DLC,Solo,Regional,Dedicated,All,,US Xpress 01,2500,,,0.6,0.73,39.478174,-78.117574,"**If you live within the Philadelphia or Front Royal VA area, there may be an opportunity for more home time in addition to the 34 hour reset.

🔴 Key Requirements
• A doubles endorsement is required for this role
• Patience & strong customer service skills are essential for this role
• Drivers must bring two weeks’ worth of supplies to orientation.
• Physical ability for live unloads.
• Hard Backing: Experience with hard backing maneuvers.

🔴 Other Carriers on This Account
USA Truck (DB Schenker)

🔴 Job Details
• $2500 Sign on Bonus
• Training: 1 week ride along paid at $150/day
• Home Time: Weekly for a 34-hour reset
• Freight: 100% touch freight, live unload at FD stores.
• Running Area: VA, NC, DC, PA, NH, OH, WV all within 700 miles of the Front Royal, VA DC
• Mileage: average 1500 miles per week, 1-6 stops per trailer
• Schedule: Runs include nights, weekends, and holidays as they fall within the driver’s schedule. A minimum of 3 loads is required per week.

🔴 Pay
• Average weekly: $1,300+
• Top Performers: Top 20% of performers make $2,000 per week
• Additional Pay: $250 full trailer unload. $125 per week for completing 3+ loads. $35 backhaul.
All in Pay - $1.30 (CPM + accessorial pay)                                                                                                      
CPM Structure: Experience Based
0 months: $0.60/mile
12 months: $0.61/mile
24 months: $0.63/mile
36 months: $0.65/mile
48 months: $0.70/mile
60 months: $0.71/mile
84 months: $0.72/mile
120+ months: $0.73/mile

🔴 Sign On Bonus Payout
$2500 Total Payout
1st Load $ 250
30 days $ 250
60 days $ 250
90 days $ 500
120 days $ 250
150 days $ 250
180 days $ 750

🔴 Bonus Eligibility
• U.S. Xpress reserves the right to modify or cancel the Sign-on bonus at any time with appropriate notice under applicable law.
• Nothing in this Sign-on Bonus changes the at-will nature of your employment, meaning you and U.S. Xpress may terminate the employment relationship at any time, with or without cause.
• You must be an active company driver on the day the bonus is paid.

🔴 Benefits
• Support staff on site 24/7 to assist
• Paid Vacation: Available after 1 year. Increases after 2 years.

🔴Unload Account Videos:
https://vimeo.com/507100528/da4b42c25c     
https://vimeo.com/669499314

🔴Tagging Orientation Site - Shippensburg
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: Regional
Acct: Dedicated
Region: All
Dedicated Domicile- Family Dollar Front Royal
SIGN ON BONUS: Y/N
Company: US Xpress 01
Updated 12.17.2024"
USX-0004,Dedicated Home Weekly,Dedicated,home_weekly,DT Warrensburg MO $2000 Sign on Bonus!!,DT Warrensburg MO,Dedicated OTR Driver - DLC,Solo,Regional,Dedicated,All,Closest Terminal,US Xpress 01                                             Updated 5.13.26,2000,,,,,40.230469,-97.823588,"🔴 Summer Retention Bonus | 5/18/26 – 8/15/26
Earn an extra $337.50/week for being available all week and pulling Dollar Tree loads.
• Payouts: 7/3/26 & 8/21/26
• Must be trained, onboarded, and actively pulling Dollar Tree loads by 7/27/26
• Must be employed at time of payout
• Shop time disqualifies weekly bonus payout eligibility                                                                                                                                                                  🔴 Key Requirements
• Patience & strong customer service skills are essential for this role
• Drivers must bring two weeks’ worth of supplies to orientation. Immediate dispatch to Warrensburg, MO upon hire.
• Secure parking is required for your truck & trailer.

🔴 Other Carriers on This Account
• Hogan
• CR England

🔴 Job Details
• $2000 Sign on Bonus
• Training: 1 week of ride-along training following DT driver at $150/day
• Home Time: Weekly for a 34-hour reset, 80% of that time is on weekends
• Freight: 100% touch freight.
• Running Areas: Delivery to Dollar Trees and occasionally Family Dollars in ND, SD, NE, KS, OK, AR, MO, IA, MN, WI, IL, KY, TN, IN
• Mileage: 1,550 average weekly
• Tractors: Internationals, Freightliners, Kenworths
• Schedule: Early morning start, multiple store deliveries per day

🔴 Pay
• Average weekly: $1,900
• Top Performers: Earn up to $2200 per week with 1,850 miles •$98k-$114k Annually
• Additional Pay: $240 unload pay, $25 stop pay, $50 backhaul pay All in Pay - $1.20 (CPM + accessorial pay + stop pay)

CPM Structure:
0–6 months: $0.70
6–12 months: $0.71
12–18 months: $0.72
8–24 months: $0.73
24–36 months: $0.74
36–48 months: $0.75
48–60 months: $0.76
60–72 months: $0.77
72–84 months: $0.78
84–96 months: $0.79
96+ months: $0.80

🔴 Sign On Bonus Payout
$2,000 Total
$500 after 1st load
$500 after 30 days
$1000 after 60 days

🔴 Bonus Eligibility
• U.S. Xpress reserves the right to modify or cancel the Sign-on bonus at any time with appropriate notice under applicable law.
• Nothing in this Sign-on Bonus changes the at-will nature of your employment, meaning you and U.S. Xpress may terminate the employment relationship at any time, with or without cause.
• You must be an active company driver on the day the bonus is paid.

🔴 Benefits
• Support staff on site 24/7 to assist
• Paid Vacation:
o 1 week of vacation after 1 year.
o 2 weeks after 2 years.
o 3 weeks after 7 years.
o 4 weeks after 10 years

🔴Unload Videos
https://vimeo.com/507100528/da4b42c25c     
https://vimeo.com/669499314    

🔴Tagging
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: Regional
Acct: Dedicated
Domicile Terminal- DT Warrensburg
Region: All
Orientation Site: Closest Terminal
Company: US Xpress 01                                             Updated 5.13.26"
USX-0005,Dedicated Home Weekly,Dedicated,home_weekly,FD Morehead KY $1000 Sign On Bonus!,Family Dollar Morehead,Dedicated OTR Driver - DLC,Solo,regional,Dedicated,All,,US Xpress 01,1000,,,,,36.911216,-83.831925,"🔴 Key Requirements
• Patience & strong customer service skills are essential for this role
• Drivers must bring two weeks’ worth of supplies to orientation.
• Physical ability for live unloads
• Must be able to work nights, weekends, and holidays within workweek

🔴 Other Carriers on This Account
Werner
USA Truck (DB Schenker)

🔴 Job Details
• Training: 1 week ride along training following current FD driver after orientation paid at $150/day
• Home Time: Weekly for a 34-hour reset
• Freight: 100% touch freight, live unload at FD stores with rollers. 3 – 7 stops per load. 3 loads per week
• Running area: AL, GA, IN, IL, KY, NC, OH, SC, TN, VA, WV
• Mileage: 1,200 - 1,500 per week
• Tractors: Internationals, Freightliners, Kenworths
• Schedule: Early AM and delivering throughout the day.

🔴 Pay
• True Up pay of $1700 (after training) if available, no service issues, no time off
• Earn $88k-$98k+ Annually 
• Additional Pay: $245 for full trailer unload. $25 per stop. $50 per backhaul All in Pay - $1.40 (CPM + accessorial pay + stop pay)

CPM Structure: Experienced Based Pay
0 months: $0.49
6 months: $0.50
12 months: $0.51
18 months: $0.52
24 months: $0.53
36 months: $0.55
48 months: $0.57
60 months: $0.59
72 months: $0.61
84 months: $0.63
96 months: $0.65
108 months: $0.67
120 months: $0.69

🔴 Sign On Bonus Payout 
$1000 Total Payout
$500 after the first load
$500 after 30 days 
🔴 Benefits
• Support staff on site 24/7 to assist
• Paid Vacation:
• 1 week after 1 year of service
2 weeks after 2 years
3 weeks after 7 years
4 weeks after 10 years

🔴Unload Videos
https://vimeo.com/507100528/da4b42c25c     
https://vimeo.com/669499314

🔴Tagging
Orientation site – Tunnel Hill, Springfield
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: regional
Acct: Dedicated
Region: All
Dedicated Domicile- Family Dollar Morehead
SIGN ON BONUS: Y/N
Company: US Xpress 01
Updated 5.13.26"
USX-0006,Dedicated Home Weekly,Dedicated,home_weekly,DT Windsor CT $2500 Sign On Bonus!!,DT Windsor,Dedicated OTR Driver - DLC,Solo,Regional,Dedicated,All,,US Xpress 01                                  Updated 5.13.26,2500,1600,1850,,,41.453191,-73.015909,"🔴 Summer Retention Bonus | 5/18/26 – 8/15/26
Earn an extra $337.50/week for being available all week and pulling Dollar Tree loads.
• Payouts: 7/3/26 & 8/21/26
• Must be trained, onboarded, and actively pulling Dollar Tree loads by 7/27/26
• Must be employed at time of payout
• Shop time disqualifies weekly bonus payout eligibility                                                                                                                                                                  🔴 Key Requirements
• Patience & strong customer service skills are essential for this role
• Drivers must bring two weeks’ worth of supplies to orientation. Immediate dispatch to Windsor, CT upon hire for training.
• Secure parking is required for your truck & trailer. Drivers authorized to park at any DT store location or DC.
• Night, weekends, and holiday driving required.

🔴 Other Carriers on This Account
Werner

🔴 Job Details
• $2,500 Sign On Bonus
• Training: 1 – 3 of ride-along training following DT driver at $150/day
• Home Time: Weekly for a 34-hour reset, not guaranteed weekend hometime
• Freight: 100% touch freight, live unload at Dollar Tree stores, box by box with rollers, with occasional Family Dollar store deliveries.
• Running Area: Deliveries to CT, MA, NH, VT, NY, RI, ME within 1066 miles of Windsor, CT.
• Mileage: 900 weekly average with 3 loads
• Schedule: Night, weekends, and holiday driving required.

🔴 Pay
• Average weekly | annually: $1,600 - $1,850 weekly | $104,000 annually
• Additional Pay: $240 per fully unloaded trailer. $75 per backhaul. $250 for NYC borough deliveries (26 ft pup trailers)
• Top Performers: $2500 + per week All in Pay - $1.90 (CPM + accessorial pay)

CPM Structure: Experienced Based
0-11 months $0.73
1 - 2 years $0.74
2 - 3 years $0.75
3+ years $0.76

🔴 Sign On Bonus Payout
$2500 Total Payout
1st Load $ 250
30 days $ 250
60 days $ 250
90 days $ 500
120 days $ 250
150 days $ 250
180 days $ 750

🔴 Bonus Eligibility
• U.S. Xpress reserves the right to modify or cancel the Sign-on bonus at any time with appropriate notice under applicable law.
• Nothing in this Sign-on Bonus changes the at-will nature of your employment, meaning you and U.S. Xpress may terminate the employment relationship at any time, with or without cause.
• You must be an active company driver on the day the bonus is paid.

🔴 Benefits
• Support staff on site 24/7 to assist
• Paid Vacation:
1 week after 1 year of service
2 weeks after 2 years
3 weeks after 7 years
4 weeks after 10 years

🔴Account Videos:
https://vimeo.com/507100528/da4b42c25c
  https://vimeo.com/669499314 
🔴Tagging Orientation site - Shippensburg
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: Regional
Acct: Dedicated
Region: All
DED/Dom Term: DT Windsor
SIGN ON BONUS: Y/N
Company: US Xpress 01                                  Updated 5.13.26"
USX-0007,Dedicated Home Weekly,Dedicated,home_weekly,"DT Savannah, GA $2000 Sign On Bonus!!",DT Savannah,Dedicated OTR Driver - DLC,Solo,Regional,Dedicated,All,,US Xpress 01,2000,1300,1600,,,32.58324,-82.904255,"🔴 Key Requirements
• Patience & strong customer service skills are essential for this role
• Drivers must bring two weeks’ worth of supplies to orientation. Will be sent directly to Savannah, GA upon hire for training.
• Must have a secure parking location for both the truck & trailer
• This role involves physically unloading freight at stores, which can be challenging but financially rewarding.

🔴 Job Details
• $2000 Sign On Bonus
• Training: 1 week ride along training, riding in truck with DT driver, paid at $150/day
• Home Time: Weekly for a 34-hour reset, not guaranteed weekends
• Freight: 100% touch freight box by box with rollers, live unload at Dollar Tree stores, with occasional Family Dollar store deliveries.
• Running Area: Coverage area of FL, GA, SC, and AL
• Mileage: 1100 – 1300 weekly average
• Tractors: Freightliners & Kenworth’s
• Schedule: Minimum home weekly with potential resets during deliveries. Most deliveries occur in the early morning, with drivers arriving the night before or early morning to meet delivery times. Early morning delivery times, driving either the night before or in the early morning. Nights, weekends and holidays required.

🔴 Pay
• Average weekly: $1,300 - $1,600
• Additional Pay: $240 for each fully unloaded trailer. $50 for backhauls
• $67k-$83k Annually
CPM Structure: $0.63 CPM regardless of experience All in Pay - $1.20 (CPM + accessorial pay)

🔴 Sign on Bonus Payout
$2,000 Total
$500 after 1st load
$500 after 30 days
$1000 after 60 days

🔴 Bonus Eligibility
• U.S. Xpress reserves the right to modify or cancel the Sign-on bonus at any time with appropriate notice under applicable law.
• Nothing in this Sign-on Bonus changes the at-will nature of your employment, meaning you and U.S. Xpress may terminate the employment relationship at any time, with or without cause.
• You must be an active company driver on the day the bonus is paid.

🔴 Benefits
• Support staff on site 24/7 to assist
• Paid Vacation:
o 1 week after 1 year of service
o 2 weeks after 2 years
o 3 weeks after 7 years
o 4 weeks after 10 years

🔴Unload Videos
https://vimeo.com/507100528/da4b42c25c     
https://vimeo.com/669499314

🔴Tagging Orientation Site - Jacksonville
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: Regional
Acct: Dedicated
Region: All
DED/Dom Term: DT Savannah
SIGN ON BONUS: Y/N
Company: US Xpress 01
Updated 5.13.26"
USX-0008,Dedicated Home Weekly,Dedicated,home_weekly,🔥🔥FD Maquoketa $2500 Sign On Bonus!,FD Maquoketa,Dedicated OTR Driver - DLC,Solo,Regional,Dedicated,All,"Chicago, Dallas",US Xpress 01                             Updated 5.13.26,2500,,,,,40.479056,-91.788666,"Anyone outside the hiring area please reach out to Sarah H or Mary Lebarge

🔴 Key Requirements
• Patience & strong customer service skills are essential for this role
• Drivers must bring two weeks’ worth of supplies to orientation.
• Physical ability for live unloads
• Ability to work in extreme temps
• Must be able to work nights, weekends, and holidays within workweek
• Account requires secure parking for truck and trailer while on home-time. Secure parking is on your own personal property or somewhere gated with two forms of security (guard or camera). No parking for home-time at FD stores, Walmart or other unsecure locations

🔴 Other Carriers On This Account
• Knight
• CRST • Werner 
🔴 Job Details
• $2500 Sign on Bonus
• Training: 1 week ride along training following another FD driver after orientation paid at $150/day
• Home Time: Weekly for a 34-hour reset
• Freight: 100% driver unload (box-by-box via rollers). Average 2 loads/week. 3–5 stops per route
• Deliver to: IA, OK, MO, WI, AR, IL, KS, MN, NE, SD, ND, CO.
• Mileage: average 1500 miles weekly
• Tractors: Internationals, Freightliners, Kenworths
• Schedule: Early AM deliveries, requiring night driving and completing 10hr break before unload. Night/weekend/holiday deliveries possible

🔴 Pay
• Weekly: $1,825 average weekly • $95k Annually 
• Additional Pay: $285 for full trailer unload. $20 per stop. $50 per backhaul
CPM Structure: $0.75 CPM - regardless of experience All in Pay - $1.18 (CPM + accessorial pay + stop pay)

🔴 Sign On Bonus Payout
$2500 total payout
1st Load $ 500
30 days $ 500
60 days $ 250
90 days $ 250
120 days $ 250
150 days $ 250
180 days $ 500

🔴 Bonus Eligibility
• U.S. Xpress reserves the right to modify or cancel the Sign-on bonus at any time with appropriate notice under applicable law.
• Nothing in this Sign-on Bonus changes the at-will nature of your employment, meaning you and U.S. Xpress may terminate the employment relationship at any time, with or without cause.
• You must be an active company driver on the day the bonus is paid.

🔴 Benefits
• Support staff on site 24/7 to assist
• Paid Vacation:
o 1 week after 1 year of service
o 2 weeks after 2 years
o 3 weeks after 7 years
o 4 weeks after 10 years

🔴Unload Videos
https://vimeo.com/507100528/da4b42c25c     
https://vimeo.com/669499314   

🔴Tagging
Orientation site - Chicago, Dallas
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: Regional
Acct: Dedicated
Domicile Terminal- FD Maquoketa
Region: All
Orientation Site: Chicago, Dallas
Company: US Xpress 01                             Updated 5.13.26"
USX-0009,Dedicated Home Weekly,Dedicated,home_weekly,FD Ashley IN $2500 Sign on Bonus!!,FD Ashley,Dedicated OTR Driver - DLC,Solo,Regional,Dedicated,All,,US Xpress 01,2500,1600,1800,0.8,0.86,41.519497,-84.600983,"🔴 Key Requirements
• Patience & strong customer service skills are essential for this role
• Drivers must bring two weeks’ worth of supplies to orientation.
• Physical ability for live unloads.
• Ability to work in extreme temps
• Requires secure parking for truck and trailer while on home-time. No parking for hometime at FD stores, Walmart or other unsecure locations. A secure locations includes 2 forms of security (guard or camera).

🔴 Other Carriers on This Account
• USA Truck
• Hirschbach

🔴 Job Details
• $2,500 Sign on Bonus
• Training: 1 week ride-along training following FD driver at $150/day
• Home Time: Weekly for a 34-hour reset, not guaranteed weekend hometime
• Freight: 100% touch freight driver unload (box by box via rollers), Average 3 loads per week
• Running Area: Deliver to IN, MI, IL, OH, WI.
• Mileage: 1,110 average weekly
• Tractors: Internationals, Freightliners, Kenworths
• Schedule: Early AM deliveries, requiring night driving and completing 10hr break before unload. 3-5 stops per route. Night, weekend, and holiday deliveries possible

🔴 Pay
• Average weekly: $1600-$1800, Top Earners $2200 • Earn $80k-$115k+ Annually 
• Additional Pay: $325 per unload, $30 per backhaul All in Pay - $1.50 (CPM + accessorial pay)

CPM Structure: Experienced Based Pay
0–59 months: $0.80/mile
60–71 months: $0.82/mile
72–83 months: $0.84/mile
84+ months: $0.86/mile

🔴 Sign On Bonus Payout
$2,500 Total Payout
$250 after the first load
$250 after 30 days
$250 after 60 days
$500 after 90 days
$250 after 120 days
$250 after 150 days
$750 after 180 days

🔴 Bonus Eligibility
• U.S. Xpress reserves the right to modify or cancel the Sign-on bonus at any time with appropriate notice under applicable law.
• Nothing in this Sign-on Bonus changes the at-will nature of your employment, meaning you and U.S. Xpress may terminate the employment relationship at any time, with or without cause.
• You must be an active company driver on the day the bonus is paid.

🔴 Benefits
• Support staff on site 24/7 to assist
• Paid Vacation:
1 week after 1 year of service
2 weeks after 2 years
3 weeks after 7 years
4 weeks after 10 years

🔴Unload Account Videos
https://vimeo.com/507100528/da4b42c25c     
https://vimeo.com/669499314

🔴Tagging
Orientation Site Springfield
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: Regional
Acct: Dedicated
Region: All
DED/Dom Term: FD Ashley
SIGN ON BONUS: Y/N
Company: US Xpress 01
Updated 5.13.26"
USX-0010,Dedicated Home Weekly,Dedicated,home_weekly,🔥🔥Kroger Roanoke VA $2500 Sign On Bonus!!,Kroger Roanoke VA,Dedicated OTR Driver - DLC,Solo,Regional,Dedicated,All,Shippensburg,US Xpress 01,2500,,,,,37.185763,-80.410395,"Anyone outside the hiring area reach out to Josh Adler for approval.

🔴 Key Requirements
• Ability to work nights, weekends, and holidays.
• Physical ability for live unloads

🔴 Job Details
• $2500 Sign on Bonus
• Home Time: Weekly for a 34-hour reset. Drivers living within 30 miles of the DC may be able to take their 10-hour break at home daily.
• Freight: 100% touch freight. Driver unload using a powered pallet jack (training provided).
• Running area of VA & WV
• Mileage: 2000 average per week with 4 loads
• Tractors: Assigned sleeper truck
• Schedule: Runs include nights, weekends, and holidays within your scheduled workweek. Holiday weeks, including the week prior, are mandatory. Operates 7 days a week, primarily overnight.

🔴 Pay
• Average weekly: $1,450
• Top Performers: $75,000+ annually
• Additional Pay: $55 per full unload. $20 per stop.

CPM Structure: Experience Based Pay
0–12 months: $0.53 CPM
12–36 months: $0.55 CPM
37–60 months: $0.56 CPM
61+ months: $0.58 CPM

🔴 Sign On Bonus Payout
$2500 Total Payout
1st Load $ 500
30 days $ 500
60 days $ 250
90 days $ 250
120 days $ 250
150 days $ 250
180 days $ 500

🔴 Bonus Eligibility
• U.S. Xpress reserves the right to modify or cancel the Sign-on bonus at any time with appropriate notice under applicable law.
• Nothing in this Sign-on Bonus changes the at-will nature of your employment, meaning you and U.S. Xpress may terminate the employment relationship at any time, with or without cause.
• You must be an active company driver on the day the bonus is paid.

🔴 Benefits
• Support staff on site 24/7 to assist
• Paid Vacation:
1 week after 1 year of service
2 weeks after 2 years
3 weeks after 7 years
4 weeks after 15 years

🔴Tagging
Orientation Site - Shippensburg
Job: Dedicated OTR Driver - DLC
Solo/Team: Solo
Area: Regional
Acct: Dedicated
Region: All
DED/Dom Term: Kroger Roanoke VA
SIGN ON BONUS: Y/N
Company: US Xpress 01"
